"MacroTrends Data Download"
"S&P 500 Index: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
1929-11-18,20.0900
1929-11-19,20.7000
1929-11-20,21.2700
1929-11-21,21.6100
1929-11-22,21.5300
1929-11-25,21.2800
1929-11-26,20.6600
1929-11-27,20.9200
1929-12-02,20.9500
1929-12-03,21.6500
1929-12-04,22.0500
1929-12-05,21.8700
1929-12-06,22.4500
1929-12-07,22.4500
1929-12-09,22.4000
1929-12-10,22.5700
1929-12-11,22.3800
1929-12-12,21.1700
1929-12-13,21.7000
1929-12-14,21.7000
1929-12-16,21.3300
1929-12-17,21.5600
1929-12-18,21.4200
1929-12-19,20.8500
1929-12-20,20.1600
1929-12-21,20.1600
1929-12-23,20.2600
1929-12-24,20.3900
1929-12-26,20.8400
1929-12-27,20.8200
1929-12-28,20.8200
1929-12-30,20.8900
1929-12-31,21.4500
1930-01-02,21.1800
1930-01-03,21.2300
1930-01-04,21.4800
1930-01-06,21.5000
1930-01-07,21.3100
1930-01-08,21.2900
1930-01-09,21.6200
1930-01-10,21.5500
1930-01-11,21.4500
1930-01-13,21.5200
1930-01-14,21.5600
1930-01-15,21.6500
1930-01-16,21.5000
1930-01-17,21.3100
1930-01-18,21.3700
1930-01-20,21.5000
1930-01-21,21.6100
1930-01-22,21.6300
1930-01-23,21.8400
1930-01-24,22.0400
1930-01-25,22.2300
1930-01-27,22.2100
1930-01-28,22.1000
1930-01-29,22.3500
1930-01-30,22.4700
1930-01-31,22.7900
1930-02-01,22.9300
1930-02-03,22.7400
1930-02-04,23.0100
1930-02-05,23.3100
1930-02-06,23.0600
1930-02-07,22.9700
1930-02-08,23.1600
1930-02-10,23.1200
1930-02-11,23.3200
1930-02-13,23.3600
1930-02-14,23.3500
1930-02-15,23.1300
1930-02-17,23.2600
1930-02-18,23.2800
1930-02-19,23.0700
1930-02-20,22.6400
1930-02-21,22.9200
1930-02-24,22.6800
1930-02-25,22.8900
1930-02-26,23.1100
1930-02-27,23.0800
1930-02-28,23.2800
1930-03-01,23.4500
1930-03-03,23.3600
1930-03-04,23.5400
1930-03-05,23.3600
1930-03-06,23.5900
1930-03-07,23.5900
1930-03-08,23.6000
1930-03-10,23.6700
1930-03-11,23.7200
1930-03-12,23.4600
1930-03-13,23.6000
1930-03-14,23.4500
1930-03-15,23.3200
1930-03-17,23.6700
1930-03-18,23.9000
1930-03-19,24.0300
1930-03-20,24.1400
1930-03-21,24.2900
1930-03-22,24.0400
1930-03-24,24.2800
1930-03-25,24.2500
1930-03-26,24.6200
1930-03-27,24.5700
1930-03-28,24.8500
1930-03-29,24.0500
1930-03-31,24.1500
1930-04-01,25.3700
1930-04-02,25.1100
1930-04-03,25.1600
1930-04-04,25.5400
1930-04-05,25.7300
1930-04-07,25.6000
1930-04-08,25.4600
1930-04-09,25.8700
1930-04-10,25.9200
1930-04-11,25.8400
1930-04-12,25.8900
1930-04-14,25.7300
1930-04-15,25.7400
1930-04-16,25.5600
1930-04-17,25.7500
1930-04-21,25.2900
1930-04-22,25.5000
1930-04-23,25.5500
1930-04-24,25.3500
1930-04-25,25.3200
1930-04-26,25.3700
1930-04-28,24.7600
1930-04-29,24.7300
1930-04-30,24.9000
1930-05-01,24.3000
1930-05-02,23.5700
1930-05-03,22.8400
1930-05-05,22.9800
1930-05-06,23.7600
1930-05-07,23.3100
1930-05-08,23.4000
1930-05-09,23.6900
1930-05-10,24.1300
1930-05-12,24.0900
1930-05-13,24.4200
1930-05-14,24.5700
1930-05-15,24.1700
1930-05-16,24.2800
1930-05-17,24.2800
1930-05-19,23.7500
1930-05-20,23.8600
1930-05-21,23.7400
1930-05-22,23.7900
1930-05-23,24.0300
1930-05-24,24.1900
1930-05-26,24.2300
1930-05-27,24.2400
1930-05-28,24.3800
1930-05-29,24.4900
1930-06-02,24.4000
1930-06-03,24.1800
1930-06-04,24.2900
1930-06-05,23.9100
1930-06-06,23.5200
1930-06-07,23.0300
1930-06-09,22.3800
1930-06-10,23.0100
1930-06-11,22.2000
1930-06-12,22.1300
1930-06-13,22.2600
1930-06-14,21.8000
1930-06-16,20.5600
1930-06-17,20.5800
1930-06-18,19.8600
1930-06-19,20.7900
1930-06-20,20.2500
1930-06-21,19.6700
1930-06-23,20.0900
1930-06-24,19.3900
1930-06-25,19.5400
1930-06-26,20.0000
1930-06-27,19.8100
1930-06-28,19.9000
1930-06-30,20.4600
1930-07-01,20.2400
1930-07-02,20.4600
1930-07-03,20.2500
1930-07-07,19.8300
1930-07-08,19.9700
1930-07-09,20.2600
1930-07-10,20.7700
1930-07-11,20.5500
1930-07-12,20.9300
1930-07-14,21.3600
1930-07-15,21.3200
1930-07-16,21.4800
1930-07-17,21.5800
1930-07-18,21.7700
1930-07-19,21.5700
1930-07-21,20.9400
1930-07-22,21.3200
